ticker,equal_weight,inverse_vol,risk_parity,hrp,signal_tilted
AAPL,0.02631578947368421,0.03164138504013528,-0.10700167579590249,0.03780269841781511,0.0
ARE&M.NS,0.02631578947368421,0.03792282843787253,0.10222911423592689,0.03566650777256961,0.0
ARIHANTCAP.NS,0.02631578947368421,0.01811611249602193,0.1626174557910053,0.02048045558207853,0.0
BEL.NS,0.02631578947368421,0.021598265552804276,0.039646921660608514,0.019231426064091218,0.0
BSE.NS,0.02631578947368421,0.01498602906791938,0.03898688905770472,0.016409978732017102,0.0
CASTROLIND.NS,0.02631578947368421,0.03136582658900682,-0.16045604197142452,0.04324595772305975,0.0
CDSL.NS,0.02631578947368421,0.022681385065641654,0.04258046600542001,0.02959318875259273,0.0
COALINDIA.NS,0.02631578947368421,0.0314820426298775,0.08046591240534885,0.022938227880566087,0.0
CRM,0.02631578947368421,0.017574875576557472,-0.11641108597886475,0.03308316992477486,0.0
GOLDIETF.NS,0.02631578947368421,0.026220352854368297,0.09608284239155583,0.02874272367691978,0.0
GOOGL,0.02631578947368421,0.015432695191293524,-0.046395793544207926,0.01968034669040129,0.0
HAL.NS,0.02631578947368421,0.023976590654392612,0.046127702523024484,0.008268607169022332,0.0
INDUSTOWER.NS,0.02631578947368421,0.02526117391545222,0.22492098223054,0.0292333237593845,0.0
INFY.NS,0.02631578947368421,0.024472111838835457,0.08905189078798884,0.02725051338641055,0.0
IOC.NS,0.02631578947368421,0.03208759158161906,0.14286049880662732,0.03351209530216011,0.0
IREDA.NS,0.02631578947368421,0.022017477210093145,0.05433018023280701,0.021792077614545265,0.0
IRFC.NS,0.02631578947368421,0.01274708442052151,0.06267750664253263,0.007861441336262315,0.0
ITC.NS,0.02631578947368421,0.05898106282864794,0.19951663316826498,0.028926737949149604,0.0
ITCHOTELS.NS,0.02631578947368421,0.02540219436077998,0.3645450703241367,0.03770404493705651,0.0
JPPOWER.NS,0.02631578947368421,0.008777272237819045,0.026086495918928785,0.005804461930990935,0.0
JWL.NS,0.02631578947368421,0.007393484597849913,0.019168457359520163,0.001678282081830024,0.0
MSFT,0.02631578947368421,0.02476437409316439,-0.3295722840454988,0.04602842679052854,0.0
NHPC.NS,0.02631578947368421,0.029330645471339654,0.06953142545028565,0.0186468556794257,0.0
NVDA,0.02631578947368421,0.014721581688023124,-0.788339620534916,0.025845675758215992,0.0
OIL.NS,0.02631578947368421,0.033005099014551544,0.06974304268158084,0.03482389020959519,0.0
PAYTM.NS,0.02631578947368421,0.01714615281593401,0.04768052659756972,0.02582547713357204,0.0
PNB.NS,0.02631578947368421,0.020464260669812707,0.04717897255198257,0.01826604983209946,0.0
RELIANCE.NS,0.02631578947368421,0.0422666590370885,0.08915998411347018,0.03745250562414924,0.0
SPY,0.02631578947368421,0.039009161676556346,-0.15783760348822196,0.04483898847823832,0.0
TATAPOWER.NS,0.02631578947368421,0.03161174872236704,0.06461016763836436,0.03448410561149233,0.0
TATASTEEL.NS,0.02631578947368421,0.022752808699092193,0.04499849703827488,0.034266704931587275,0.0
TMCV.NS,0.02631578947368421,0.014713229712539962,0.09086175844386435,0.012729265455667448,0.0
TMPV.NS,0.02631578947368421,0.022407966047416572,0.06434871492610643,0.013721615850232257,0.0
VOO,0.02631578947368421,0.03908107270345492,-0.15730814226544138,0.04487359136789734,0.0
VSTIND.NS,0.02631578947368421,0.03650832975966895,0.12627571942071045,0.020531110260644775,0.0
WIPRO.NS,0.02631578947368421,0.029969730202804287,0.09944011296570134,0.024993802564931895,0.0
ZEEL.NS,0.02631578947368421,0.022232307225796118,0.13197571404091502,0.013625259471983219,0.0
ZYDUSLIFE.NS,0.02631578947368421,0.04987703031288011,0.12562259221371117,0.04014040829604078,0.0
